cause_of_death,year_of_death,county_of_residence,deaths,population,crude_rate,age_adjusted_rate,variance
All Causes,1982,Ouray,16,2155.54,742.2733979,731.7578257,34890.3857
All Causes,1982,Park,28,6444.45,434.4823841,897.2724147,37231.79225
All Causes,1982,Phillips,76,4606.53,1649.831869,1243.069246,20885.03722
All Causes,1982,Pitkin,38,10081.49,376.9284104,964.2409196,46428.08136
All Causes,1982,Prowers,153,13408.51,1141.066383,1232.458839,9448.893873
All Causes,1982,Pueblo,1081,123801.69,873.1706328,969.3460556,847.9497468
All Causes,1982,Rio Blanco,37,7317.45,505.6406262,881.8370728,23099.41103
All Causes,1982,Rio Grande,103,11137.55,924.7994397,947.9227124,8334.511598
All Causes,1982,Routt,66,13803.52,478.1389095,1061.027442,18968.34191
All Causes,1982,Saguache,26,4246.53,612.2646019,663.4346649,16743.33924
All Causes,1982,San Juan,7,1192.83,586.8397005,910.636611,125412.669
All Causes,1982,San Miguel,13,3044.51,426.9981048,887.0013616,61788.87428
All Causes,1982,Sedgwick,36,3246.49,1108.889909,861.6996359,19910.0748
All Causes,1982,Summit,28,10063.75,278.2263073,1095.109298,160961.7621
All Causes,1982,Teller,50,9359.56,534.2131468,858.4687097,16707.28184
All Causes,1982,Washington,51,5437.48,937.9344844,905.5035746,15728.0025
All Causes,1982,Weld,768,124403.69,617.3450321,850.5837392,917.3484827
All Causes,1982,Yuma,109,9944.58,1096.074445,978.0922038,8748.788286
All Causes,1982,Unknown,,,,,
All Causes,1983,Colorado,19530,3137554.47,622.459313,892.0721341,40.09007421
All Causes,1983,Adams,1282,267291.33,479.626481,852.6697592,629.3354792
All Causes,1983,Alamosa,87,12688.49,685.6607839,989.7268521,10955.17772
All Causes,1983,Arapahoe,1488,349509.46,425.7395494,928.9532041,652.7520714
All Causes,1983,Archuleta,33,5034.46,655.4824152,889.5336915,26681.85849
All Causes,1983,Baca,60,5321.51,1127.499526,1059.204253,18068.38927
All Causes,1983,Bent,76,6017.54,1262.974571,1126.839132,16521.3696
All Causes,1983,Boulder,959,204652.01,468.6003328,776.9973595,627.7351715
All Causes,1983,Broomfield,,,,,
All Causes,1983,Chaffee,129,13256.54,973.1045959,1064.320831,8381.609794
All Causes,1983,Cheyenne,23,2273.5,1011.656037,1184.938046,53809.27797
All Causes,1983,Clear Creek,36,7768.47,463.4117143,908.4090265,24443.78274
All Causes,1983,Conejos,60,7946.55,755.044642,927.9907549,13853.48663
All Causes,1983,Costilla,23,3321.62,692.4332103,645.8631288,17774.51334
All Causes,1983,Crowley,40,3077.52,1299.747849,908.7613305,21236.54885
All Causes,1983,Custer,8,1812.51,441.3768752,466.0664307,28010.9975
All Causes,1983,Delta,282,23672.53,1191.254167,1037.241084,3688.432101
All Causes,1983,Denver,4608,503319.4,915.5220323,968.1695606,198.3726718
All Causes,1983,Dolores,9,1835.41,490.353654,580.5312674,38549.72619
All Causes,1983,Douglas,133,33169.58,400.9698043,988.5909158,8205.749337
All Causes,1983,Eagle,47,16004.61,293.6653877,975.6174996,31265.64802
All Causes,1983,Elbert,40,8042.5,497.3577868,697.1594597,12441.63475
All Causes,1983,El Paso,1797,341767.91,525.7954148,881.4651232,446.2704473
All Causes,1983,Fremont,377,31411.58,1200.194323,992.4551112,2555.442162
All Causes,1983,Garfield,151,28970.62,521.2177026,830.2209602,4607.449443
All Causes,1983,Gilpin,10,3069.64,325.7711002,550.6659765,33606.95553
All Causes,1983,Grand,27,8163.31,330.7481892,564.0760484,14024.46737
All Causes,1983,Gunnison,41,10420.47,393.4563412,859.1297394,18862.84803
All Causes,1983,Hinsdale,,604.94,,,
